#singular,plural
penguin,penguins
book,books
web,webs
novel,novels
cluster,clusters
Shemp,Shemps
Curly,Curlys
envelope,envelopes
Scotland,Scotlands
England,Englands
Tuva,Tuvas
Tibet,Tibets
coffee,coffees
surrealist,surrealists
napkin,napkins
tissue,tissues
radio,radios
law,laws
sonar,sonars
radar,radars
circuit,circuits
watch,watches
clock,clocks
grandfather_clock,grandfather_clocks
bottle,bottles
jar,jars
dog,dogs
cat,cats
bird,birds
mouse,mice
rat,rats
glass_elephant,glass_elephants
eraser,erasers
wallpaper,wallpapers
wallpaper_poem,wallpaper_poems
paint,paints
oil,oils
pencil,pencils
chalk,chalks
telephone,telephones
devil,devils
demon,demons
explosion,explosions
yak,yaks
chihuahua,chihuahuas
match,matches
weed,weeds
grass,grasses
acid,acids
mushroom,mushrooms
egg,eggs
ball,balls
wrench,wrenches
meat,meats
chicken_part,chicken_parts
meat_part,meat_parts
brain,brains
brain_tissue,brain_tissues
salami,salamis
pastrami,pastramis
sausage,sausages
elevator,elevators
shoe,shoes
cannibal,cannibals
clip,clips
pigeon,pigeons
knife,knives
chain,chains
sofa,sofas
suit,suits
bike,bikes
sock,socks
loaf,loafs
lump,lumps
clump,clumps
tuna,tunas
mustard,mustards
cheese_ball,cheese_balls
tooth,teeth
tongue,tongues
nail,nails
car_accident,car_accidents
exploding_midget,exploding_midgets
screaming_nun,screaming_nuns
librarian,librarians
angry_mob,angry_mobs
fjord,fjords
fart-gift,fart-gifts
