# Verb,Past,PastParticiple,Singular,Present
abort,aborted,aborted,aborts,aborting
accept,accepted,accepted,accepts,accepting
activate,activated,activated,activates,activating
befuddle,befuddled,befuddled,befuddles,befuddling
besmirch,besmirched,besmirched,besmirches,besmirching
break,broke,broken,breaks,breaking
burn,burnt,burnt,burns,burning
careen,careened,careened,careens,careening
clench,clenched,clenched,clenches,clenching
cling,clung,clung,clings,clinging
cluster,clustered,clustered,clusters,clustering
come,came,come,comes,coming
compress,compressed,compressed,compresses,compressing
corrupt,corrupted,corrupted,corrupts,corrupting
cover,covered,covered,covers,covering
crash,crashed,crashed,crashes,crashing
create,created,created,creates,creating
cut,cut,cut,cuts,cutting
damage,damaged,damaged,damages,damaging
delay,delayed,delayed,delays,delaying
demote,demoted,demoted,demotes,demoting
dilute,diluted,diluted,dilutes,diluting
disable,disabled,disabled,disables,disabling
display,displayed,displayed,displays,displaying
distill,distilled,distilled,distills,distilling
douse,doused,doused,douses,dousing
drink,drank,drunk,drinks,drinking
drip,dripped,dripped,drips,dripping
drive,drove,driven,drives,driving
eat,ate,eaten,eats,eating
edit,edited,edited,edits,editing
enable,enabled,enabled,enables,enabling
enter,entered,entered,enters,entering
entice,enticed,enticed,entices,enticing
excite,excited,excited,excites,exciting
exhibit,exhibited,exhibited,exhibits,exhibiting
faint,fainted,fainted,faints,fainting
feel,felt,felt,feels,feeling
fondle,fondled,fondled,fondles,fondling
fry,fried,fried,fries,frying
gag,gagged,gagged,gags,gagging
hate,hated,hated,hates,hating
hibernate,hibernated,hibernated,hibernates,hibernating
hump,humped,humped,humps,humping
ignite,ignited,ignited,ignites,igniting
ignore,ignored,ignored,ignores,ignoring
invite,invited,invited,invites,inviting
jest,jested,jested,jests,jesting
jump,jumped,jumped,jumps,jumping
kill,killed,killed,kills,killing
know,knew,known,knows,knowing
light,lit,lit,lights,lighting
listen,listened,listened,listens,listening
love,loved,loved,loves,loving
mangle,mangled,mangled,mangles,mangling
mash,mashed,mashed,mashes,mashing
motivate,motivated,motivated,motivates,motivating
navigate,navigated,navigated,navigates,navigating
negate,negated,negated,negates,negating
operate,operated,operated,operates,operating
paint,painted,painted,paints,painting
question,questioned,questioned,questions,questioning
read,read,read,reads,reading
retry,retried,retried,retries,retrying
revert,reverted,reverted,reverts,reverting
run,ran,run,runs,running
see,saw,seen,sees,seeing
sense,sensed,sensed,senses,sensing
sing,sang,sung,sings,singing
sink,sank,sunk,sinks,sinking
slam,slammed,slammed,slams,slamming
slash,slashed,slashed,slashes,slashing
slip,slipped,slipped,slips,slipping
smell,smelt,smelt,smells,smelling
smite,smote,smitten,smites,smiting
squash,squashed,squashed,squashes,squashing
sting,stung,stung,stings,stinging
stun,stunned,stunned,stuns,stunning
subdue,subdued,subdued,subdues,subduing
submerge,submerged,submerged,submerges,submerging
suck,sucked,sucked,sucks,sucking
suspend,suspended,suspended,suspends,suspending
suspect,suspected,suspected,suspects,suspecting
swallow,swallowed,swallowed,swallows,swallowing
swim,swam,swum,swims,swimming
take,took,taken,takes,taking
talk,talked,talked,talks,talking
touch,touched,touched,touches,touching
trample,trampled,trampled,tramples,trampling
trip,tripped,tripped,trips,tripping
understand,understood,understood,understands,understanding
walk,walked,walked,walks,walking
wallop,walloped,walloped,wallops,walloping
wave,waved,waved,waves,waving
wipe,wiped,wiped,wipes,wiping
yearn,yearned,yearned,yearns,yearning
zoom,zoomed,zoomed,zooms,zooming
