# Adjective,Comparative(-er),Superlative(-est)
able,abler,ablest
adorable,more adorable,most adorable
amber,more amber,most amber
ample,more ample,most ample
ancient,more ancient,most ancient
angry,angrier,angriest
average,more average,most average
bad,worse,worst
batty,battier,battiest
beautiful,more beautiful,most beautiful
big,bigger,biggest
black,blacker,blackest
blithering,more blithering,most blithering
blue,bluer,bluest
bold,bolder,boldest
campy,campier,campiest
ceramic,more ceramic,most ceramic
certain,more certain,most certain
clean,cleaner,cleanest
clear,clearer,clearest
cold,colder,coldest
colorful,more colorful,most colorful
compact,more compact,most compact
corrective,more corrective,most corrective
crappy,crappier,crappiest
dark,darker,darkest
decayed,more decayed,most decayed
defective,more defective,most defective
delayed,more delayed,most delayed
different,more different,most different
dirty,dirtier,dirtiest
dismal,more dismal,most dismal
drab,more drab,most drab
dull,duller,dullest
early,earlier,earliest
easy,easier,easiest
economic,more economic,most economic
effective,more effective,most effective
elegant,more elegant,most elegant
english,more english,most english
evil,more evil,most evil
fancy,fancier,fanciest
far,farther,farthest
fat,fatter,fattest
fatty,fattier,fattiest
federal,more federal,most federal
filthy,more filthy,filthiest
forbidden,more forbidden,most forbidden
free,freer,freest
french,more french,most french
full,fuller,fullest
german,more german,most german
glass,glassier,glassiest
great,greater,greatest
green,greener,greenest
handsome,more handsome,handsomest
happy,happier,happiest
hard,harder,hardest
hidden,more hidden,most hidden
high,higher,highest
hot,hotter,hottest
huge,huger,hugest
human,more human,most human
icy,icier,iciest
important,more important,most important
international,more international,most international
large,larger,largest
late,later,latest
lean,leaner,leanest
light,lighter,lightest
little,less,least
local,more local,most local
long,longer,longest
lovely,lovelier,loveliest
low,lower,lowest
lumpy,lumpier,lumpiest
major,more major,most major
manual,more manual,most manual
medium,more medium,most medium
military,more military,most military
mongolian,more mongolian,most mongolian
morbid,more morbid,most morbid
much,more,most
murky,murkier,murkiest
national,more national,most national
necessary,more necessary,most necessary
nervous,more nervous,most nervous
neurotic,more neurotic,most neurotic
new,newer,newest
old,older,oldest
orange,more orange,most orange
plastic,more plastic,most plastic
political,more political,most political
possible,more possible,most possible
pretty,prettier,prettiest
psychotic,more psychotic,most psychotic
public,more public,most public
quaint,quainter,quaintest
quirky,quirkier,quirkiest
ratty,rattier,rattiest
real,more real,most real
recent,more recent,most recent
red,redder,reddest
right,righter,rightest
round,rounder,roundest
rubber,rubberier,rubberiest
sappy,sappier,sappiest
scrappy,scrappier,sappiest
semantic,more semantic,most semantic
sensual,more sensual,most sensual
shiny,shinier,shiniest
shitty,shittier,shittiest
skinny,skinnier,skinniest
slippery,more slippery,slipperiest
small,smaller,smallest
smelly,smellier,smelliest
social,more social,most social
sordid,more sordid,most sordid
sparkling,more sparkling,most sparkling
special,more special,most special
specific,more specific,most specific
spotless,more spotless,most spotless
square,squarer,more square
strong,stronger,strongest
subliminal,more subliminal,most subliminal
subtle,more subtle,most subtle
succulent,more succulent,most succulent
sure,surer,surest
tepid,more tepid,most tepid
tiny,tinier,tiniest
torpid,more torpid,most torpid
tribal,more tribal,most tribal
true,truer,truest
ugly,uglier,ugliest
used,more used,most used
warm,warmer,warmest
warped,more warped,most warped
white,whiter,whitest
whole,more whole,most whole
worn,more worn,most worn
yellow,yellower,yellowest
young,younger,youngest
